1941u|1941: Counter Attack
1942|1942
1943u|1943: The Battle of Midway
1943kai|1943 Kai: Midway Kaisen
1944|1944: The Loop Master
19xx|19XX: The War Against Destiny
aerofgt|Aero Fighters
alcon|Alcon
armwaru|Armored Warriors
asurabld|Asura Blade: Sword of Dynasty
asurabus|Asura Buster: Eternal Warriors
avspu|Alien vs. Predator
batrideru|Armed Police Batrider
batsugunsp|Batsugun: Special Version
batsugun|Batsugun
bbakraidja|Battle Bakraid
bbakraid|Battle Bakraid: Unlimited Version
bgareggat2|Battle Garegga: Type 2
bgaregga|Battle Garegga
bionicc1|Bionic Commando
captcommu|Captain Commando
cawingu|Carrier Air Wing
daraku|Daraku Tenshi: The Fallen Angels
ddragonub|Double Dragon
ddragon2u|Double Dragon 2: The Revenge
ddragon3|Double Dragon 3: The Rosetta Stone
ddonpach|DonPachi 2: DoDonPachi
ddpdojblk|DonPachi 3: DoDonPachi DaiOuJou Black Label
ddpdoj|DonPachi 3: DoDonPachi DaiOuJou
ddsomu|D&D 2: Shadow over Mystara
ddtodu|D&D 1: Tower of Doom
dfeveron|Dangun Feveron
dimahoou|Dimahoo
dinou|Cadillacs and Dinosaurs
dogyuun|Dogyuun
donpachi|DonPachi
dragnblz|Dragon Blaze
dstlku|Night Warriors: Darkstalkers
espgal|Espgaluda
esprade|ESP Ra.De.
ffightu1|Final Fight
fixeightu|Fixeight
ghoulsu|Ghouls ’n Ghosts
gigawing|Giga Wing
gngt|Ghosts ’n Goblins
gunbird2|Gunbird 2
gunbird|Gunbird
guwange|Guwange
hellfire|Hellfire
hsf2|Hyper Street Fighter 2
jojoba|JoJo’s Bizarre Adventure: Heritage for the Future
jojo|JoJo’s Bizarre Adventure
ket|Ketsui: Kizuna Jigoku Tachi
kingdmgp|Kingdom Grand Prix
knightsu|Knights of the Round
kodu|King of Dragons
megaman2|Mega Man: The Power Fighters
megaman|Mega Man: The Power Battle
mshu|Marvel Super Heroes
mshvsfu|Marvel Super Heroes vs. Street Fighter
mvscu|Marvel vs. Capcom
nwarru|Night Warriors: Darkstalkers’ Revenge
outzone|Out Zone
progear|Progear
punisheru|Punisher, The
qad|Quiz & Dragons
rabiolep|Rabio Lepus
raidenu|Raiden
raiden2eu|Raiden 2
raidendxu|Raiden DX
rallybik|Rally Bike
rtypeu|R-Type
rtype2|R-Type 2
s1945iii|Strikers 1945 3
s1945ii|Strikers 1945 2
s1945|Strikers 1945
samuraia|Sengoku Ace
sbomber|Space Bomber
sf2ceuc|Street Fighter 2 Champion Edition
sf2hfu|Street Fighter 2 Turbo: Hyper Fighting
sf2uk|Street Fighter 2
sfa2ur1|Street Fighter Alpha 2
sfa3u|Street Fighter Alpha 3
sfau|Street Fighter Alpha
sfiii2|Street Fighter 3: 2nd Impact
sfiii3ur1|Street Fighter 3: 3rd Strike
sfiiiu|Street Fighter 3
sgemf|Super Gem Fighter Mini Mix
soldivid|Sol Divide
spf2tu|Super Puzzle Fighter II Turbo
ssf2tu|Super Street Fighter 2 Turbo
ssf2u|Super Street Fighter 2
sstriker|Sorcer Striker
strider|Strider
tengai|Sengoku Blade
tigerh|Tiger Heli
truxton2|Truxton 2
truxton|Truxton
turbofrc|Turbo Force
twinhawku|Twin Hawk
unsquad|UN Squadron
uopoko|Puzzle Uo Poko
varthu|Varth: Operation Thunderstorm
vfive|V5
wofu|Warriors of Fate
xmcotau|X-Men: Children of the Atom
xmvsfu|X-Men vs. Street Fighter
zerowingw|Zero Wing
