Advanced Busterhawk Gleylancer (Japan)|Advanced Busterhawk Gleylancer [JP]
Adventures of Batman _ Robin, The (USA)|Adventures of Batman & Robin, The
After Burner II (USA, Europe)|After Burner 2
Aladdin (USA)|Aladdin
Alex Kidd in the Enchanted Castle (USA)|Alex Kidd in the Enchanted Castle
Alien Soldier (Japan)|Alien Soldier [JP]
Alien Storm (World)|Alien Storm
Altered Beast (USA, Europe)|Altered Beast
Ayrton Senna's Super Monaco GP II (USA) (En,Ja)|Super Monaco GP 2, Ayrton Senna’s
Bare Knuckle - Ikari no Tetsuken ~ Streets of Rage (World) (Rev A)|Streets of Rage
Bare Knuckle III (Japan)|Bare Knuckle 3 [JP]
Battle Mania (Japan)|Battle Mania [JP]
Battle Mania Daiginjou (Japan, Korea)|Battle Mania Daiginjō [Japan, Korea]
Battletoads (World)|Battletoads
Battletoads-Double Dragon (USA)|Battletoads/Double Dragon
Beyond Oasis (USA)|Beyond Oasis
Captain America and the Avengers (USA)|Captain America and the Avengers
Castle of Illusion Starring Mickey Mouse (USA, Europe)|Castle of Illusion Starring Mickey Mouse
Castlevania - Bloodlines (USA)|Castlevania: Bloodlines
Championship Pro-Am (USA)|Championship Pro-Am
Columns (World) (v1.1)|Columns
Columns III (USA)|Columns 3
Comix Zone (USA)|Comix Zone
Contra - Hard Corps (USA, Korea)|Contra: Hard Corps
Daisenpuu ~ Twin Hawk (Japan, Europe)|Twin Hawk [JP]
Darius II (Japan)|Darius 2 [JP]
DEcapAttack (USA, Europe)|Decap Attack
Dr. Robotnik's Mean Bean Machine (USA)|Dr. Robotnik’s Mean Bean Machine
Dune - The Battle for Arrakis (USA)|Dune: The Battle for Arrakis
Dynamite Headdy (Japan)|Dynamite Headdy [JP]
Dynamite Headdy (USA, Europe)|Dynamite Headdy
Earthworm Jim (USA)|Earthworm Jim
Earthworm Jim 2 (USA)|Earthworm Jim 2
Ecco - The Tides of Time (USA)|Ecco 2: The Tides of Time
Ecco Jr. (USA, Australia) (March 1995)|Ecco 3: Ecco Jr.
Ecco the Dolphin (USA, Europe)|Ecco 1: Ecco the Dolphin
Elemental Master (USA)|Elemental Master
Eliminate Down (Japan)|Eliminate Down [JP]
ESWAT - City Under Siege (USA, Europe)|ESWAT: City Under Siege
Evander Holyfield's 'Real Deal' Boxing (World)|Evander Holyfield’s “Real Deal” Boxing
Fatal Labyrinth (USA, Europe)|Fatal Labyrinth
Flicky (USA, Europe)|Flicky
Gain Ground (World) (Rev A)|Gain Ground
Gemfire (USA)|Gemfire
General Chaos (USA, Europe)|General Chaos
Ghouls'n Ghosts (USA, Europe) (Rev A)|Ghouls ’n Ghosts
Golden Axe (World) (v1.1)|Golden Axe
Golden Axe II (World)|Golden Axe 2
Golden Axe III (Japan)|Golden Axe 3 [JP]
Granada (Japan, USA) (v1.1)|Granada
Gunstar Heroes (USA)|Gunstar Heroes
Hellfire (USA)|Hellfire
Herzog Zwei (USA, Europe)|Herzog Zwei
Jungle Book, The (USA)|Jungle Book, The
Jurassic Park - Rampage Edition (USA, Europe)|Jurassic Park: Rampage Edition
Jurassic Park (USA)|Jurassic Park
Kid Chameleon (USA, Europe)|Kid Chameleon
Langrisser II (Japan) (v1.2)|Langrisser 2 [JP]
Liberty or Death (USA)|Liberty or Death
Lightening Force - Quest for the Darkstar (USA)|Thunder Force 4: Lightening Force
Lion King, The (World)|Lion King, The
Lost Vikings, The (USA)|Lost Vikings, The
Mega Bomberman (USA)|Mega Bomberman
Mega Turrican (USA)|Mega Turrican
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)|Mickey Mania: The Timeless Adventures of Mickey Mouse
Monster World IV (USA, Europe) (En,Ja) (Virtual Console)|Monster World 4 [JP]
MUSHA - Metallic Uniframe Super Hybrid Armor (USA)|MUSHA
Mutant League Football (USA, Europe)|Mutant League Football
Mutant League Hockey (USA, Europe)|Mutant League Hockey
NHL '94 (USA, Europe)|NHL Hockey ’94
NHL 95 (USA, Europe)|NHL Hockey ’95
NHL 96 (USA, Europe)|NHL Hockey ’96
NHL 97 (USA, Europe)|NHL Hockey ’97
NHL 98 (USA)|NHL Hockey ’98
NHL Hockey (USA)|NHL Hockey ’92
NHLPA Hockey 93 (USA, Europe) (v1.1)|NHLPA Hockey ’93
OutRun (USA, Europe)|OutRun
OutRun 2019 (USA)|OutRun 2019
P.T.O. - Pacific Theater of Operations (USA)|PTO: Pacific Theater of Operations
Panorama Cotton (Japan)|Panorama Cotton [JP]
Phantasy Star II (USA, Europe) (Rev A)|Phantasy Star 2
Phantasy Star III - Generations of Doom (USA, Europe)|Phantasy Star 3: Generations of Doom
Phantasy Star IV (USA)|Phantasy Star 4
Pulseman (Japan)|Pulseman [JP]
QuackShot Starring Donald Duck ~ QuackShot - I Love Donald Duck - Guruzia Ou no Hihou (World) (v1.1)|QuackShot
Ranger X (USA)|Ranger X
Revenge of Shinobi, The (World) (Rev C) (Virtual Console)|Shinobi 2: Revenge of Shinobi, The
Ristar (USA, Europe) (September 1994)|Ristar
Road Rash (USA, Europe)|Road Rash
Road Rash 3 (USA, Europe)|Road Rash 3
Road Rash II (USA, Europe) (v1.2)|Road Rash 2
RoadBlasters (USA)|RoadBlasters
Rock n' Roll Racing (USA)|Rock ’n Roll Racin
Rocket Knight Adventures (USA)|Rocket Knight Adventures
Rockman - Mega World (Japan)|Rockman: Mega World [JP]
Shadow Dancer - The Secret of Shinobi (World)|Shadow Dancer: The Secret of Shinobi
Shadowrun (USA)|Shadowrun
Shining Force (USA)|Shining Force
Shining Force II (USA)|Shining Force 2
Shining in the Darkness (USA, Europe)|Shining in the Darkness
Shinobi III - Return of the Ninja Master (USA)|Shinobi 3: Return of the Ninja Master
Sonic _ Knuckles (World)|Sonic & Knuckles
Sonic _ Knuckles + Sonic The Hedgehog (USA)|Sonic & Knuckles + Sonic The Hedgehog
Sonic _ Knuckles + Sonic The Hedgehog 2 (World)|Sonic & Knuckles + Sonic The Hedgehog 2
Sonic _ Knuckles + Sonic The Hedgehog 3 (USA)|Sonic & Knuckles + Sonic The Hedgehog 3
Sonic 3D Blast ~ Sonic 3D Flickies' Island (USA, Europe)|Sonic 3D Blast
Sonic Spinball (USA)|Sonic Spinball
Sonic The Hedgehog (USA, Europe)|Sonic The Hedgehog
Sonic The Hedgehog 2 (World) (Rev A)|Sonic The Hedgehog 2
Sonic The Hedgehog 3 (USA)|Sonic The Hedgehog 3
Sparkster (USA)|Rocket Knight Adventures 2: Sparkster
Spider-Man - X-Men - Arcade's Revenge (USA, Europe)|Spider-Man and the X-Men in Arcade’s Revenge
Star Cruiser (Japan)|Star Cruiser [JP]
Steel Empire (USA)|Steel Empire
Streets of Rage 2 (USA)|Streets of Rage 2
Streets of Rage 3 (USA)|Streets of Rage 3
Sub-Terrania (USA)|Sub-Terrania
Sunset Riders (USA)|Sunset Riders
Super Hang-On (World) (En,Ja) (Rev A)|Super Hang-On
Super Monaco GP (USA) (En,Ja)|Super Monaco GP
Super Thunder Blade (World)|Super Thunder Blade
Sword of Vermilion (USA, Europe)|Sword of Vermilion
Target Earth (USA)|Target Earth
Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA)|Teenage Mutant Ninja Turtles: The Hyperstone Heist
Thunder Force II (USA, Europe)|Thunder Force 2
